,Movie,Rating
3000,"Emperor's New Groove, The (2000)",[0.57064394]
2557,School Daze (1988),[0.56759365]
1248,Hurricane Streets (1997),[0.56713389]
310,Crooklyn (1994),[0.56550449]
5495,1900 (Novecento) (1976),[0.56488875]
868,Wallace & Gromit: The Wrong Trousers (1993),[0.56448677]
67,Big Bully (1996),[0.56360243]
4987,"China Syndrome, The (1979)",[0.56004499]
1997,"Rocky Horror Picture Show, The (1975)",[0.55758297]
1600,"American Tail: Fievel Goes West, An (1991)",[0.55733275]
997,"Killing Fields, The (1984)",[0.55732321]
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),[0.55462829]
1647,Knock Off (1998),[0.55093376]
121,"Awfully Big Adventure, An (1995)",[0.54917796]
311,"Crow, The (1994)",[0.54536246]
130,Canadian Bacon (1995),[0.54445747]
1369,"Misérables, Les (1998)",[0.54079297]
38,Dead Presidents (1995),[0.53741521]
1109,Prefontaine (1997),[0.53451524]
1802,Rambo: First Blood Part II (1985),[0.53333437]
127,Beauty of the Day (Belle de jour) (1967),[0.53315131]
55,Mr. Holland's Opus (1995),[0.53167007]
727,My Man Godfrey (1936),[0.53157332]
1104,"Cement Garden, The (1993)",[0.5315707]
1042,Breaking the Waves (1996),[0.53104589]
927,"Quiet Man, The (1952)",[0.52970063]
418,Jurassic Park (1993),[0.52321691]
1,Jumanji (1995),[0.52282009]
2500,Born Yesterday (1950),[0.52209062]
118,Bad Boys (1995),[0.52087942]
1639,I Confess (1953),[0.51992915]
1219,Seven Years in Tibet (1997),[0.51964687]
5747,Fat Albert (2004),[0.51917958]
3304,Arthur 2: On the Rocks (1988),[0.51912471]
159,"Prophecy, The (1995)",[0.5191061]
565,Operation Dumbo Drop (1995),[0.51903989]
387,Fatal Instinct (1993),[0.51854934]
3089,Nico and Dani (Krámpack) (2000),[0.51848987]
234,"Madness of King George, The (1994)",[0.51771407]
1214,Star Maps (1997),[0.51576553]
2649,What Ever Happened to Baby Jane? (1962),[0.51491604]
2193,Total Recall (1990),[0.51024722]
1017,"Amityville Curse, The (1990)",[0.50949899]
1557,"Rocketeer, The (1991)",[0.50900944]
1390,Mulan (1998),[0.50848477]
1953,Friends & Lovers (1999),[0.50756089]
7221,Daybreakers (2010),[0.50720387]
3191,Bread and Roses (2000),[0.50373338]
1607,House II: The Second Story (1987),[0.50246283]
403,Hard Target (1993),[0.50212283]
399,Geronimo: An American Legend (1993),[0.50197448]
348,Jason's Lyric (1994),[0.50032767]
5589,Fist of Legend (Jing wu ying xiong) (1994),[0.49951888]
1131,"Saint, The (1997)",[0.49919162]
1201,Steel (1997),[0.4971792]
63,Fair Game (1995),[0.49641754]
1410,Mutiny on the Bounty (1935),[0.49508756]
5329,Mr. 3000 (2004),[0.49187001]
5832,Miss Congeniality 2: Armed and Fabulous (2005),[0.49050936]
1506,"Black Hole, The (1979)",[0.48954722]
632,She's the One (1996),[0.48905506]
107,Chungking Express (Chung Hing sam lam) (1994),[0.48841308]
1145,Anaconda (1997),[0.48572134]
537,Theodore Rex (1995),[0.48364139]
4218,Sunless (Sans Soleil) (1983),[0.48091704]
1247,"Life Less Ordinary, A (1997)",[0.48080729]
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),[0.4792945]
321,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",[0.47873166]
1160,"Promise, The (La promesse) (1996)",[0.47660863]
2060,"Color Purple, The (1985)",[0.47639979]
6184,Friends with Money (2006),[0.4763322]
475,Son in Law (1993),[0.47391337]
17,Four Rooms (1995),[0.47315008]
4214,Paradise (1982),[0.4709209]
3542,Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993),[0.47044973]
4213,"Night of the Shooting Stars (Notte di San Lorenzo, La) (1982)",[0.47011541]
3101,"Mexican, The (2001)",[0.46958431]
1409,Grand Hotel (1932),[0.46863438]
1783,Police Academy 4: Citizens on Patrol (1987),[0.46798586]
5026,"Virgin Spring, The (Jungfrukällan) (1960)",[0.46732206]
912,"Wings of Desire (Himmel über Berlin, Der) (1987)",[0.46691575]
1605,"Clan of the Cave Bear, The (1986)",[0.46586148]
417,Judgment Night (1993),[0.46585321]
2562,Creature Comforts (1989),[0.46453496]
6500,Hostel: Part II (2007),[0.46413408]
2520,"Bridge at Remagen, The (1969)",[0.46286176]
1241,Washington Square (1997),[0.46108496]
100,Before and After (1996),[0.45939036]
1697,Pecker (1998),[0.45858979]
131,Casper (1995),[0.45734302]
841,"Streetcar Named Desire, A (1951)",[0.45273695]
1367,Tarzan and the Lost City (1998),[0.45237896]
802,Looking for Richard (1996),[0.45197685]
1980,"Love Letter, The (1999)",[0.45192805]
5040,Tremors II: Aftershocks (1996),[0.45191347]
436,Mrs. Doubtfire (1993),[0.45162459]
2298,Peter's Friends (1992),[0.45127883]
1598,"Dark Crystal, The (1982)",[0.45098284]
254,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),[0.44949589]
2495,The Year My Voice Broke (1987),[0.44779406]
1874,20 Dates (1998),[0.44728889]
2603,Ladyhawke (1985),[0.44686994]
1543,"Jungle Book, The (1967)",[0.44431273]
1468,Child's Play 3 (1991),[0.44323434]
5506,Hair (1979),[0.4426555]
4050,Looker (1981),[0.44129371]
1399,Lethal Weapon 4 (1998),[0.44046367]
3639,"Majestic, The (2001)",[0.43933766]
1278,Artemisia (1997),[0.43674942]
3192,Startup.com (2001),[0.43617187]
494,Little Big League (1994),[0.43545742]
113,Down Periscope (1996),[0.43412577]
1862,"Color of Money, The (1986)",[0.43224319]
6114,Looking for Comedy in the Muslim World (2005),[0.42890331]
1172,"Pillow Book, The (1996)",[0.42844036]
19,Money Train (1995),[0.42822098]
1448,"Nightmare on Elm Street 4: The Dream Master, A (1988)",[0.42774459]
2779,Gone in 60 Seconds (2000),[0.42730811]
1176,Head Above Water (1996),[0.42700913]
1383,Six Days Seven Nights (1998),[0.42698252]
3334,Lady in White (a.k.a. The Mystery of the Lady in White) (1988),[0.42534748]
346,"Colonel Chabert, Le (1994)",[0.42484424]
1837,Playing by Heart (1998),[0.42356426]
1170,Buddy (1997),[0.42330417]
2101,National Lampoon's Vacation (1983),[0.42003655]
996,Pink Floyd: The Wall (1982),[0.4198801]
1032,Cape Fear (1962),[0.41706179]
809,William Shakespeare's Romeo + Juliet (1996),[0.41548927]
181,Burnt by the Sun (Utomlyonnye solntsem) (1994),[0.41507653]
700,Meet Me in St. Louis (1944),[0.41504144]
821,Victor/Victoria (1982),[0.41401779]
5036,Children of Dune (2003),[0.41342724]
2564,Death Wish 2 (1982),[0.41245826]
2059,Crimes of the Heart (1986),[0.41124531]
481,Thirty-Two Short Films About Glenn Gould (1993),[0.4107926]
7816,Pitfall (Otoshiana) (1962),[0.41023103]
1658,"Man Who Knew Too Much, The (1934)",[0.40992256]
4209,Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982),[0.40834499]
3335,The Lair of the White Worm (1988),[0.4079363]
2687,Hamlet (2000),[0.40785192]
1025,Body Parts (1991),[0.40781199]
3328,For Keeps (1988),[0.40727231]
1362,Taste of Cherry (Ta'm e guilass) (1997),[0.40646033]
20,Get Shorty (1995),[0.40519928]
217,Interview with the Vampire: The Vampire Chronicles (1994),[0.40457376]
3291,Jump Tomorrow (2001),[0.40408968]
4291,Stevie (2002),[0.40394523]
3611,"Affair of the Necklace, The (2001)",[0.40393779]
3496,"American Astronaut, The (2001)",[0.40128902]
61,Friday (1995),[0.40014736]
1205,Mimic (1997),[0.39905697]
633,"Time to Kill, A (1996)",[0.39822679]
4946,"Mudge Boy, The (2003)",[0.39713335]
1312,Spice World (1997),[0.39700741]
82,Vampire in Brooklyn (1995),[0.39691782]
377,Clean Slate (1994),[0.39670008]
4728,Follow the Fleet (1936),[0.3963238]
1301,Great Expectations (1998),[0.39554213]
1484,Soylent Green (1973),[0.39515822]
1568,Swing Kids (1993),[0.3950826]
639,"Very Brady Sequel, A (1996)",[0.39492106]
6029,Elizabethtown (2005),[0.3945655]
1811,Rocky IV (1985),[0.39245558]
3033,The Man in the Moon (1991),[0.39073333]
1908,Conquest of the Planet of the Apes (1972),[0.38995648]
1626,Next Stop Wonderland (1998),[0.38912327]
1830,Patch Adams (1998),[0.38880608]
2491,"Next Best Thing, The (2000)",[0.38778594]
1181,Face/Off (1997),[0.38757784]
1050,Ridicule (1996),[0.38503336]
3694,Rollerball (2002),[0.38495591]
1447,"Nightmare on Elm Street 3: Dream Warriors, A (1987)",[0.38425866]
3325,Drowning by Numbers (1988),[0.38327529]
5386,Christmas with the Kranks (2004),[0.38271564]
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),[0.38271404]
1768,King Kong (1933),[0.38183855]
2558,Do the Right Thing (1989),[0.38171321]
558,Mystery Science Theater 3000: The Movie (1996),[0.38108726]
1182,Fall (1997),[0.37973861]
1259,Witness (1985),[0.37965221]
4837,They Drive by Night (1940),[0.37960745]
4978,Monster in a Box (1992),[0.37946791]
335,Speechless (1994),[0.37814721]
898,Star Wars: Episode V - The Empire Strikes Back (1980),[0.37774679]
7067,Ghosts of Girlfriends Past (2009),[0.37769774]
2601,Empire Records (1995),[0.37735605]
1372,Quest for Camelot (1998),[0.37661117]
3295,Africa: The Serengeti (1994),[0.37536697]
1429,Midnight Cowboy (1969),[0.37535355]
3732,"Magnificent Ambersons, The (1942)",[0.37331269]
1687,"Few Good Men, A (1992)",[0.37264696]
142,Hackers (1995),[0.37238446]
1118,Touch (1997),[0.37230577]
1021,"Believers, The (1987)",[0.37090608]
5043,The Plague of the Zombies (1966),[0.37035124]
1357,"Borrowers, The (1997)",[0.36965564]
1562,Song of the South (1946),[0.36946063]
115,Up Close and Personal (1996),[0.36750765]
1593,Doctor Dolittle (1967),[0.36748971]
1392,I Went Down (1997),[0.36712539]
7365,"Last Airbender, The (2010)",[0.36576136]
5840,If Looks Could Kill (1991),[0.36574179]
278,Shallow Grave (1994),[0.36515471]
5320,Vanity Fair (2004),[0.36309732]
3011,State and Main (2000),[0.3617602]
2131,Outside Providence (1999),[0.36003815]
573,Boys (1996),[0.3580798]
1565,Tall Tale (1995),[0.35792348]
5039,"Legend, The (Legend of Fong Sai-Yuk, The) (Fong Sai Yuk) (1993)",[0.35580743]
1895,Night Shift (1982),[0.35560166]
1289,Stranger in the House (1997),[0.35475215]
1918,"School of Flesh, The (École de la chair, L') (1998)",[0.35441068]
5198,Executive Suite (1954),[0.35424962]
2345,Stanley & Iris (1990),[0.352617]
2523,On the Beach (1959),[0.35236772]
3695,"Scotland, Pa. (2001)",[0.35147532]
622,"Nutty Professor, The (1996)",[0.35119121]
1135,Liar Liar (1997),[0.34966942]
1553,"Rescuers, The (1977)",[0.34922483]
228,Like Water for Chocolate (Como agua para chocolate) (1992),[0.34897168]
3670,Brainstorm (1983),[0.3489461]
33,Dead Man Walking (1995),[0.3478685]
190,Clerks (1994),[0.3464372]
2191,"Limey, The (1999)",[0.34550142]
2346,Midnight Run (1988),[0.34513365]
1502,Jane Austen's Mafia! (1998),[0.34511372]
3548,Dirty Harry (1971),[0.34499325]
823,"Great Race, The (1965)",[0.34437355]
5493,"Passenger, The (Professione: reporter) (1975)",[0.34375857]
48,Lamerica (1994),[0.34374031]
238,Milk Money (1994),[0.34325134]
6227,Who Killed the Electric Car? (2006),[0.34112888]
166,Species (1995),[0.34038068]
2667,"Idiots, The (Idioterne) (1998)",[0.34036983]
1893,Children of the Corn III (1994),[0.33967273]
3486,L.I.E. (2001),[0.33915101]
2861,Space Cowboys (2000),[0.33829689]
1451,Friday the 13th (1980),[0.33761375]
8888,Phir Hera Pheri (2006),[0.33710939]
2919,Girlfight (2000),[0.33685042]
1147,Kissed (1996),[0.33595479]
1303,Senseless (1998),[0.33565356]
1257,"Rainmaker, The (1997)",[0.33515549]
787,Pete's Dragon (1977),[0.33501404]
2896,Cat Ballou (1965),[0.33480891]
4117,Adaptation (2002),[0.33472433]
6230,High School Musical (2006),[0.33465454]
2845,Sinbad and the Eye of the Tiger (1977),[0.33420246]
3064,Gardens of Stone (1987),[0.33309427]
530,Ed (1996),[0.33306145]
1671,Say Anything... (1989),[0.3330523]
2502,Blood Feast (1963),[0.33234994]
603,Ashes of Time (Dung che sai duk) (1994),[0.33215772]
1146,Grosse Pointe Blank (1997),[0.33157996]
2040,Drop Dead Gorgeous (1999),[0.33004735]
507,Terminator 2: Judgment Day (1991),[0.32933727]
2043,Deep Blue Sea (1999),[0.32887843]
1717,One Tough Cop (1998),[0.32872649]
2136,"Black Cat, White Cat (Crna macka, beli macor) (1998)",[0.32856647]
1102,Beverly Hills Ninja (1997),[0.32813378]
2897,Supergirl (1984),[0.32754263]
3280,"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)",[0.32718519]
1636,"Wrong Man, The (1956)",[0.32714905]
6117,Project A ('A' gai waak) (1983),[0.32603058]
5666,"Lion King 1½, The (2004)",[0.32575733]
2931,"Creature from the Black Lagoon, The (1954)",[0.32529995]
930,Annie Hall (1977),[0.32515105]
5808,"Seven-Per-Cent Solution, The (1976)",[0.32492214]
212,Houseguest (1994),[0.32440984]
1508,Blank Check (1994),[0.32359114]
2240,"Best Man, The (1999)",[0.32156577]
2684,Center Stage (2000),[0.31964839]
652,House Arrest (1996),[0.31829918]
112,Jade (1995),[0.31791867]
618,"Hunchback of Notre Dame, The (1996)",[0.31743765]
324,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",[0.31721603]
956,Better Off Dead... (1985),[0.3168273]
1952,Life (1999),[0.31677843]
989,Some Kind of Wonderful (1987),[0.31669087]
2196,"Year of Living Dangerously, The (1982)",[0.31472904]
1805,"Jewel of the Nile, The (1985)",[0.31444267]
3023,"Alamo, The (1960)",[0.31442454]
3508,Father Goose (1964),[0.31435586]
1365,Major League: Back to the Minors (1998),[0.31407392]
2014,Austin Powers: The Spy Who Shagged Me (1999),[0.31375424]
4216,Santa Claus Is a Stinker (Le Père Noël est une ordure) (1982),[0.31278958]
5520,What Have I Done to Deserve This? (¿Qué he hecho yo para merecer esto!!) (1984),[0.31273214]
1569,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),[0.31263835]
1533,Fanny and Alexander (Fanny och Alexander) (1982),[0.31169536]
3142,Heartbreakers (2001),[0.31116484]
3388,Johnny Handsome (1989),[0.31100715]
2250,Who Framed Roger Rabbit? (1988),[0.31086823]
4172,"City of Lost Souls, The (Hyôryuu-gai) (2000)",[0.30972754]
3151,Along Came a Spider (2001),[0.30970782]
760,2 Days in the Valley (1996),[0.30954323]
3281,Game of Death (1978),[0.30934177]
1488,"Poseidon Adventure, The (1972)",[0.30925327]
1641,Stage Fright (1950),[0.30894483]
5825,Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud) (1958),[0.30893936]
375,Carlito's Way (1993),[0.30847454]
6229,Career Opportunities (1991),[0.30818854]
5753,Sweet Liberty (1986),[0.30752359]
2973,"Eagle Has Landed, The (1976)",[0.30743415]
1183,Men in Black (a.k.a. MIB) (1997),[0.30588616]
8797,Kidnapping Mr. Heineken (2015),[0.30550523]
1121,Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997),[0.30465335]
3697,Heidi (1937),[0.30362988]
1368,"Dancer, Texas Pop. 81 (1998)",[0.30214069]
1931,Ravenous (1999),[0.30208821]
1330,Suicide Kings (1997),[0.30201256]
6542,Sydney White (2007),[0.2993042]
2854,Tampopo (1985),[0.29904005]
314,Forrest Gump (1994),[0.29787941]
3215,Big Eden (2000),[0.29695635]
3368,Chances Are (1989),[0.29693027]
52,"Postman, The (Postino, Il) (1994)",[0.29609156]
4908,Dawn of the Dead (2004),[0.29584197]
5962,"Skeleton Key, The (2005)",[0.29577056]
5842,"Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994)",[0.29543253]
3733,Fun (1994),[0.29498012]
773,Homeward Bound: The Incredible Journey (1993),[0.29484776]
5421,"Roaring Twenties, The (1939)",[0.29484207]
484,"Three Musketeers, The (1993)",[0.29475195]
2,Grumpier Old Men (1995),[0.29454507]
2378,Bicentennial Man (1999),[0.29399217]
2617,My Life (1993),[0.29387411]
946,"Graduate, The (1967)",[0.29327455]
2946,Tigerland (2000),[0.293203]
3120,Real Life (1979),[0.29216644]
1433,Ordinary People (1980),[0.29163939]
4256,Bringing Down the House (2003),[0.2915764]
206,Hideaway (1995),[0.29156382]
990,Indiana Jones and the Last Crusade (1989),[0.29082694]
